rodada,data,mandante,visitante,vencedor
32,28/10/2009,Botafogo-RJ,Nautico,Botafogo-RJ
32,28/10/2009,Cruzeiro,Santo Andre,Cruzeiro
32,28/10/2009,Gremio,Avai,Gremio
32,28/10/2009,Vitoria,Corinthians,Corinthians
32,28/10/2009,Barueri,Flamengo,Barueri
32,28/10/2009,Sao Paulo,Internacional,Sao Paulo
32,29/10/2009,Sport,Coritiba,-
32,29/10/2009,Fluminense,Atletico-MG,Fluminense
32,29/10/2009,Palmeiras,Goias,Palmeiras
33,31/10/2009,Flamengo,Santos,Flamengo
33,31/10/2009,Avai,Athletico-PR,Avai
33,31/10/2009,Sao Paulo,Barueri,Sao Paulo
33,01/11/2009,Palmeiras,Corinthians,-
33,01/11/2009,Internacional,Botafogo-RJ,Botafogo-RJ
33,01/11/2009,Coritiba,Vitoria,Coritiba
33,01/11/2009,Goias,Atletico-MG,Atletico-MG
33,01/11/2009,Cruzeiro,Fluminense,Fluminense
33,01/11/2009,Santo Andre,Gremio,Santo Andre
33,01/11/2009,Nautico,Sport,Nautico
34,04/11/2009,Gremio,Sao Paulo,-
34,07/11/2009,Vitoria,Avai,Avai
34,07/11/2009,Sport,Cruzeiro,Cruzeiro
34,07/11/2009,Santos,Nautico,Santos
34,08/11/2009,Fluminense,Palmeiras,Fluminense
34,08/11/2009,Atletico-MG,Flamengo,Flamengo
34,08/11/2009,Corinthians,Santo Andre,Corinthians
34,08/11/2009,Barueri,Internacional,-
34,08/11/2009,Botafogo-RJ,Coritiba,Botafogo-RJ
34,08/11/2009,Athletico-PR,Goias,Athletico-PR
35,11/11/2009,Palmeiras,Sport,-
35,14/11/2009,Cruzeiro,Gremio,-
35,14/11/2009,Sao Paulo,Vitoria,Sao Paulo
35,14/11/2009,Coritiba,Atletico-MG,Coritiba
35,15/11/2009,Nautico,Flamengo,Flamengo
35,15/11/2009,Avai,Corinthians,Avai
35,15/11/2009,Barueri,Botafogo-RJ,Barueri
35,15/11/2009,Fluminense,Athletico-PR,Fluminense
35,15/11/2009,Goias,Santo Andre,Goias
35,15/11/2009,Internacional,Santos,Internacional
36,18/11/2009,Gremio,Palmeiras,Gremio
36,21/11/2009,Corinthians,Nautico,Nautico
36,21/11/2009,Athletico-PR,Cruzeiro,-
36,22/11/2009,Botafogo-RJ,Sao Paulo,Botafogo-RJ
36,22/11/2009,Sport,Fluminense,Fluminense
36,22/11/2009,Santo Andre,Avai,Santo Andre
36,22/11/2009,Santos,Coritiba,Santos
36,22/11/2009,Vitoria,Barueri,Vitoria
36,22/11/2009,Atletico-MG,Internacional,Internacional
36,22/11/2009,Flamengo,Goias,-
37,29/11/2009,Goias,Sao Paulo,Goias
37,29/11/2009,Corinthians,Flamengo,Flamengo
37,29/11/2009,Palmeiras,Atletico-MG,Palmeiras
37,29/11/2009,Sport,Internacional,Internacional
37,29/11/2009,Gremio,Barueri,Gremio
37,29/11/2009,Avai,Santos,-
37,29/11/2009,Cruzeiro,Coritiba,Cruzeiro
37,29/11/2009,Santo Andre,Nautico,Santo Andre
37,29/11/2009,Athletico-PR,Botafogo-RJ,Athletico-PR
37,29/11/2009,Fluminense,Vitoria,Fluminense
38,05/12/2009,Atletico-MG,Corinthians,Corinthians
38,05/12/2009,Nautico,Avai,Avai
38,06/12/2009,Flamengo,Gremio,Flamengo
38,06/12/2009,Botafogo-RJ,Palmeiras,Botafogo-RJ
38,06/12/2009,Sao Paulo,Sport,Sao Paulo
38,06/12/2009,Internacional,Santo Andre,Internacional
38,06/12/2009,Santos,Cruzeiro,Cruzeiro
38,06/12/2009,Barueri,Athletico-PR,-
38,06/12/2009,Vitoria,Goias,-
38,06/12/2009,Coritiba,Fluminense,-
1,08/05/2010,Botafogo-RJ,Santos,-
1,08/05/2010,Atletico-GO,Gremio,-
1,08/05/2010,Palmeiras,Vitoria,Palmeiras
1,09/05/2010,Flamengo,Sao Paulo,-
1,09/05/2010,Atletico-MG,Vasco,Atletico-MG
1,09/05/2010,Internacional,Cruzeiro,Cruzeiro
1,09/05/2010,Corinthians,Athletico-PR,Corinthians
1,09/05/2010,Ceara,Fluminense,Ceara
1,09/05/2010,Guarani,Goias,Guarani
1,09/05/2010,Avai,Gremio Prudente,Avai
2,15/05/2010,Fluminense,Atletico-GO,Fluminense
2,15/05/2010,Gremio Prudente,Atletico-MG,Gremio Prudente
2,15/05/2010,Vitoria,Flamengo,-
2,16/05/2010,Santos,Ceara,-
2,16/05/2010,Sao Paulo,Botafogo-RJ,Botafogo-RJ
2,16/05/2010,Goias,Internacional,Internacional
2,16/05/2010,Gremio,Corinthians,Corinthians
2,16/05/2010,Vasco,Palmeiras,-
2,16/05/2010,Cruzeiro,Avai,-
2,16/05/2010,Athletico-PR,Guarani,-
3,22/05/2010,Botafogo-RJ,Goias,Botafogo-RJ
3,22/05/2010,Atletico-GO,Santos,Santos
3,22/05/2010,Palmeiras,Gremio,Palmeiras
3,23/05/2010,Atletico-MG,Athletico-PR,Atletico-MG
3,23/05/2010,Internacional,Sao Paulo,Sao Paulo
3,23/05/2010,Corinthians,Fluminense,Corinthians
3,23/05/2010,Ceara,Vitoria,Ceara
3,23/05/2010,Flamengo,Gremio Prudente,Flamengo
3,23/05/2010,Guarani,Cruzeiro,-
3,23/05/2010,Avai,Vasco,Avai
5,23/05/2010,Guarani,Sao Paulo,-
5,23/05/2010,Atletico-MG,Fluminense,Fluminense
5,23/05/2010,Internacional,Athletico-PR,Internacional
5,23/05/2010,Corinthians,Santos,Corinthians
5,23/05/2010,Ceara,Cruzeiro,Ceara
5,23/05/2010,Botafogo-RJ,Vasco,-
5,23/05/2010,Atletico-GO,Goias,Goias
4,26/05/2010,Vitoria,Atletico-MG,Vitoria
4,26/05/2010,Fluminense,Flamengo,Fluminense
4,26/05/2010,Gremio,Avai,Gremio
4,26/05/2010,Sao Paulo,Palmeiras,Sao Paulo
4,26/05/2010,Gremio Prudente,Corinthians,-
4,26/05/2010,Santos,Guarani,Santos
4,26/05/2010,Cruzeiro,Botafogo-RJ,Cruzeiro
4,27/05/2010,Goias,Ceara,-
4,27/05/2010,Vasco,Internacional,Vasco
4,27/05/2010,Athletico-PR,Atletico-GO,Athletico-PR
5,29/05/2010,Avai,Vitoria,-
5,29/05/2010,Flamengo,Gremio,-
5,29/05/2010,Palmeiras,Gremio Prudente,-
6,02/06/2010,Athletico-PR,Botafogo-RJ,Athletico-PR
6,02/06/2010,Fluminense,Vitoria,Fluminense
6,02/06/2010,Gremio Prudente,Atletico-GO,Gremio Prudente
6,02/06/2010,Ceara,Avai,Ceara
6,02/06/2010,Cruzeiro,Santos,-
6,02/06/2010,Palmeiras,Flamengo,Flamengo
6,02/06/2010,Goias,Sao Paulo,Goias
6,03/06/2010,Gremio,Atletico-MG,Gremio
6,03/06/2010,Vasco,Guarani,Guarani
6,03/06/2010,Corinthians,Internacional,Corinthians
7,05/06/2010,Avai,Fluminense,Fluminense
7,05/06/2010,Flamengo,Goias,Goias
7,05/06/2010,Vitoria,Athletico-PR,Vitoria
7,06/06/2010,Sao Paulo,Gremio,Sao Paulo
7,06/06/2010,Santos,Vasco,Santos
7,06/06/2010,Atletico-MG,Ceara,Ceara
7,06/06/2010,Botafogo-RJ,Corinthians,-
7,06/06/2010,Guarani,Gremio Prudente,Guarani
7,06/06/2010,Internacional,Palmeiras,-
7,06/06/2010,Atletico-GO,Cruzeiro,Atletico-GO
8,14/07/2010,Gremio,Vitoria,-
8,14/07/2010,Athletico-PR,Cruzeiro,Cruzeiro
8,14/07/2010,Sao Paulo,Avai,Avai
8,14/07/2010,Flamengo,Botafogo-RJ,Flamengo
8,14/07/2010,Ceara,Corinthians,-
8,14/07/2010,Goias,Vasco,-
8,14/07/2010,Guarani,Internacional,Internacional
8,15/07/2010,Palmeiras,Santos,Palmeiras
8,15/07/2010,Atletico-MG,Atletico-GO,Atletico-MG
8,15/07/2010,Fluminense,Gremio Prudente,-
9,17/07/2010,Vasco,Athletico-PR,Vasco
9,17/07/2010,Vitoria,Sao Paulo,Vitoria
9,18/07/2010,Internacional,Ceara,Internacional
9,18/07/2010,Atletico-GO,Flamengo,Flamengo
9,18/07/2010,Corinthians,Atletico-MG,Corinthians
9,18/07/2010,Avai,Palmeiras,Avai
9,18/07/2010,Santos,Fluminense,Fluminense
9,18/07/2010,Cruzeiro,Goias,Cruzeiro
9,18/07/2010,Botafogo-RJ,Guarani,-
9,18/07/2010,Gremio Prudente,Gremio,Gremio Prudente
10,21/07/2010,Sao Paulo,Gremio Prudente,-
10,21/07/2010,Atletico-MG,Internacional,Internacional
10,21/07/2010,Vitoria,Goias,-
10,21/07/2010,Flamengo,Avai,-
10,21/07/2010,Atletico-GO,Corinthians,Atletico-GO
10,21/07/2010,Gremio,Vasco,-
10,21/07/2010,Athletico-PR,Santos,Athletico-PR
10,22/07/2010,Guarani,Ceara,-
10,22/07/2010,Palmeiras,Botafogo-RJ,-
10,22/07/2010,Fluminense,Cruzeiro,Fluminense
11,24/07/2010,Vasco,Atletico-GO,Vasco
11,24/07/2010,Avai,Atletico-MG,-
11,24/07/2010,Gremio Prudente,Vitoria,-
11,25/07/2010,Santos,Sao Paulo,Santos
11,25/07/2010,Cruzeiro,Gremio,-
11,25/07/2010,Internacional,Flamengo,Internacional
11,25/07/2010,Goias,Athletico-PR,Athletico-PR
11,25/07/2010,Ceara,Palmeiras,-
11,25/07/2010,Corinthians,Guarani,Corinthians
11,25/07/2010,Botafogo-RJ,Fluminense,-
12,31/07/2010,Sao Paulo,Ceara,Sao Paulo
12,31/07/2010,Fluminense,Athletico-PR,Fluminense
12,31/07/2010,Atletico-GO,Guarani,-
12,01/08/2010,Palmeiras,Corinthians,-
12,01/08/2010,Vitoria,Botafogo-RJ,Botafogo-RJ
12,01/08/2010,Internacional,Gremio,-
12,01/08/2010,Avai,Goias,Avai
12,01/08/2010,Atletico-MG,Cruzeiro,Cruzeiro
12,01/08/2010,Flamengo,Vasco,-
12,01/08/2010,Gremio Prudente,Santos,Santos
13,07/08/2010,Botafogo-RJ,Atletico-MG,Botafogo-RJ
13,07/08/2010,Guarani,Avai,Guarani
13,08/08/2010,Corinthians,Flamengo,Corinthians
13,08/08/2010,Goias,Palmeiras,-
13,08/08/2010,Ceara,Atletico-GO,-
13,08/08/2010,Vasco,Vitoria,Vasco
13,08/08/2010,Cruzeiro,Gremio Prudente,-
13,08/08/2010,Gremio,Fluminense,Fluminense
13,08/08/2010,Athletico-PR,Sao Paulo,-
14,14/08/2010,Flamengo,Ceara,Flamengo
14,14/08/2010,Palmeiras,Athletico-PR,Palmeiras
14,14/08/2010,Atletico-GO,Botafogo-RJ,Botafogo-RJ
14,14/08/2010,Atletico-MG,Guarani,Atletico-MG
14,15/08/2010,Sao Paulo,Cruzeiro,-
14,15/08/2010,Fluminense,Internacional,Fluminense
14,15/08/2010,Gremio Prudente,Vasco,Vasco
14,15/08/2010,Avai,Corinthians,Avai
14,15/08/2010,Vitoria,Santos,Vitoria
14,15/08/2010,Gremio,Goias,Gremio
15,21/08/2010,Goias,Gremio Prudente,Gremio Prudente
15,21/08/2010,Ceara,Gremio,Ceara
15,21/08/2010,Botafogo-RJ,Avai,Botafogo-RJ
15,22/08/2010,Santos,Atletico-MG,Santos
15,22/08/2010,Internacional,Atletico-GO,-
15,22/08/2010,Athletico-PR,Flamengo,Athletico-PR
15,22/08/2010,Guarani,Palmeiras,-
15,22/08/2010,Cruzeiro,Vitoria,Vitoria
15,22/08/2010,Vasco,Fluminense,-
15,22/08/2010,Corinthians,Sao Paulo,Corinthians
16,25/08/2010,Goias,Fluminense,Fluminense
16,25/08/2010,Botafogo-RJ,Ceara,Botafogo-RJ
16,25/08/2010,Avai,Internacional,Internacional
16,25/08/2010,Gremio Prudente,Athletico-PR,Athletico-PR
16,25/08/2010,Sao Paulo,Vasco,-
16,25/08/2010,Cruzeiro,Corinthians,Cruzeiro
16,25/08/2010,Gremio,Santos,Santos
16,26/08/2010,Vitoria,Guarani,-
16,26/08/2010,Flamengo,Atletico-MG,-
16,26/08/2010,Palmeiras,Atletico-GO,Atletico-GO
17,28/08/2010,Santos,Goias,Santos
17,28/08/2010,Internacional,Botafogo-RJ,Internacional
17,28/08/2010,Vasco,Cruzeiro,-
17,28/08/2010,Ceara,Gremio Prudente,-
17,29/08/2010,Corinthians,Vitoria,Corinthians
17,29/08/2010,Guarani,Flamengo,Guarani
17,29/08/2010,Atletico-MG,Palmeiras,Palmeiras
17,29/08/2010,Fluminense,Sao Paulo,-
17,29/08/2010,Atletico-GO,Avai,-
17,29/08/2010,Athletico-PR,Gremio,-
18,01/09/2010,Gremio,Guarani,Gremio
18,01/09/2010,Vitoria,Internacional,-
18,01/09/2010,Gremio Prudente,Botafogo-RJ,Botafogo-RJ
18,01/09/2010,Goias,Atletico-MG,Atletico-MG
18,01/09/2010,Cruzeiro,Flamengo,Cruzeiro
18,01/09/2010,Athletico-PR,Ceara,Athletico-PR
18,01/09/2010,Fluminense,Palmeiras,-
18,02/09/2010,Santos,Avai,Santos
18,02/09/2010,Sao Paulo,Atletico-GO,Sao Paulo
19,04/09/2010,Ceara,Vasco,Vasco
19,04/09/2010,Corinthians,Goias,Corinthians
19,04/09/2010,Botafogo-RJ,Gremio,-
19,05/09/2010,Flamengo,Santos,-
19,05/09/2010,Guarani,Fluminense,Guarani
19,05/09/2010,Palmeiras,Cruzeiro,Cruzeiro
19,05/09/2010,Avai,Athletico-PR,Athletico-PR
19,05/09/2010,Atletico-MG,Sao Paulo,Sao Paulo
19,05/09/2010,Atletico-GO,Vitoria,Atletico-GO
19,05/09/2010,Internacional,Gremio Prudente,Internacional
20,08/09/2010,Fluminense,Ceara,Fluminense
20,08/09/2010,Cruzeiro,Internacional,Cruzeiro
20,08/09/2010,Gremio,Atletico-GO,Gremio
20,08/09/2010,Goias,Guarani,Goias
20,08/09/2010,Sao Paulo,Flamengo,Sao Paulo
20,08/09/2010,Vitoria,Palmeiras,-
20,08/09/2010,Athletico-PR,Corinthians,-
20,09/09/2010,Santos,Botafogo-RJ,Botafogo-RJ
20,09/09/2010,Vasco,Atletico-MG,-
20,09/09/2010,Gremio Prudente,Avai,-
21,11/09/2010,Flamengo,Vitoria,-
21,11/09/2010,Corinthians,Gremio,Gremio
21,11/09/2010,Atletico-GO,Fluminense,Atletico-GO
21,12/09/2010,Palmeiras,Vasco,-
21,12/09/2010,Botafogo-RJ,Sao Paulo,Botafogo-RJ
21,12/09/2010,Atletico-MG,Gremio Prudente,Atletico-MG
21,12/09/2010,Avai,Cruzeiro,Cruzeiro
21,12/09/2010,Guarani,Athletico-PR,Guarani
21,12/09/2010,Internacional,Goias,-
21,12/09/2010,Ceara,Santos,Ceara
22,15/09/2010,Santos,Atletico-GO,Santos
22,15/09/2010,Cruzeiro,Guarani,Cruzeiro
22,15/09/2010,Goias,Botafogo-RJ,Goias
22,15/09/2010,Athletico-PR,Atletico-MG,Athletico-PR
22,15/09/2010,Fluminense,Corinthians,Corinthians
22,15/09/2010,Gremio Prudente,Flamengo,Flamengo
22,15/09/2010,Gremio,Palmeiras,Palmeiras
22,15/09/2010,Vitoria,Ceara,-
22,16/09/2010,Sao Paulo,Internacional,Internacional
22,16/09/2010,Vasco,Avai,-
23,18/09/2010,Corinthians,Gremio Prudente,Corinthians
23,18/09/2010,Botafogo-RJ,Cruzeiro,-
23,18/09/2010,Atletico-GO,Athletico-PR,Athletico-PR
23,19/09/2010,Palmeiras,Sao Paulo,Sao Paulo
23,19/09/2010,Guarani,Santos,-
23,19/09/2010,Atletico-MG,Vitoria,Vitoria
23,19/09/2010,Internacional,Vasco,Internacional
23,19/09/2010,Flamengo,Fluminense,-
23,19/09/2010,Avai,Gremio,Gremio
23,19/09/2010,Ceara,Goias,-
24,22/09/2010,Sao Paulo,Guarani,Sao Paulo
24,22/09/2010,Gremio Prudente,Palmeiras,Palmeiras
24,22/09/2010,Cruzeiro,Ceara,Cruzeiro
24,22/09/2010,Goias,Atletico-GO,Atletico-GO
24,22/09/2010,Vasco,Botafogo-RJ,-
24,22/09/2010,Athletico-PR,Internacional,Athletico-PR
24,22/09/2010,Gremio,Flamengo,-
24,22/09/2010,Santos,Corinthians,Corinthians
24,23/09/2010,Fluminense,Atletico-MG,Fluminense
24,23/09/2010,Vitoria,Avai,Vitoria
25,25/09/2010,Santos,Cruzeiro,Santos
25,25/09/2010,Sao Paulo,Goias,Goias
25,25/09/2010,Guarani,Vasco,Guarani
25,25/09/2010,Atletico-GO,Gremio Prudente,Atletico-GO
25,25/09/2010,Flamengo,Palmeiras,Palmeiras
25,26/09/2010,Internacional,Corinthians,Internacional
25,26/09/2010,Vitoria,Fluminense,Fluminense
25,26/09/2010,Botafogo-RJ,Athletico-PR,-
25,26/09/2010,Avai,Ceara,Avai
25,26/09/2010,Atletico-MG,Gremio,Gremio
26,28/09/2010,Vasco,Santos,Vasco
26,28/09/2010,Goias,Flamengo,-
26,29/09/2010,Palmeiras,Internacional,Palmeiras
26,29/09/2010,Gremio Prudente,Guarani,Gremio Prudente
26,29/09/2010,Cruzeiro,Atletico-GO,Cruzeiro
26,29/09/2010,Athletico-PR,Vitoria,Athletico-PR
26,29/09/2010,Fluminense,Avai,Fluminense
26,29/09/2010,Gremio,Sao Paulo,Gremio
26,29/09/2010,Corinthians,Botafogo-RJ,-
26,29/09/2010,Ceara,Atletico-MG,-
27,01/10/2010,Vasco,Goias,Vasco
27,02/10/2010,Santos,Palmeiras,-
27,02/10/2010,Corinthians,Ceara,-
27,02/10/2010,Gremio Prudente,Fluminense,-
27,02/10/2010,Vitoria,Gremio,Gremio
27,02/10/2010,Cruzeiro,Athletico-PR,-
27,02/10/2010,Botafogo-RJ,Flamengo,-
27,02/10/2010,Internacional,Guarani,Internacional
27,02/10/2010,Avai,Sao Paulo,-
27,02/10/2010,Atletico-GO,Atletico-MG,Atletico-MG
28,06/10/2010,Fluminense,Santos,Santos
28,06/10/2010,Gremio,Gremio Prudente,Gremio
28,06/10/2010,Guarani,Botafogo-RJ,-
28,06/10/2010,Ceara,Internacional,Ceara
28,06/10/2010,Athletico-PR,Vasco,-
28,06/10/2010,Sao Paulo,Vitoria,Sao Paulo
28,06/10/2010,Atletico-MG,Corinthians,Atletico-MG
28,07/10/2010,Palmeiras,Avai,Palmeiras
28,07/10/2010,Goias,Cruzeiro,Cruzeiro
28,07/10/2010,Flamengo,Atletico-GO,Flamengo
29,09/10/2010,Santos,Athletico-PR,Santos
29,09/10/2010,Gremio Prudente,Sao Paulo,Sao Paulo
29,09/10/2010,Vasco,Gremio,-
29,10/10/2010,Cruzeiro,Fluminense,Cruzeiro
29,10/10/2010,Corinthians,Atletico-GO,Atletico-GO
29,10/10/2010,Botafogo-RJ,Palmeiras,-
29,10/10/2010,Goias,Vitoria,Goias
29,10/10/2010,Avai,Flamengo,-
29,10/10/2010,Ceara,Guarani,Ceara
29,10/10/2010,Internacional,Atletico-MG,Internacional
13,13/10/2010,Santos,Internacional,Santos
18,13/10/2010,Vasco,Corinthians,Vasco
30,16/10/2010,Flamengo,Internacional,Flamengo
30,16/10/2010,Athletico-PR,Goias,Athletico-PR
30,17/10/2010,Atletico-MG,Avai,Atletico-MG
30,17/10/2010,Guarani,Corinthians,-
30,17/10/2010,Gremio,Cruzeiro,Gremio
30,17/10/2010,Atletico-GO,Vasco,Atletico-GO
30,17/10/2010,Vitoria,Gremio Prudente,Vitoria
30,17/10/2010,Fluminense,Botafogo-RJ,-
30,17/10/2010,Sao Paulo,Santos,Sao Paulo
30,17/10/2010,Palmeiras,Ceara,-
31,23/10/2010,Botafogo-RJ,Vitoria,Botafogo-RJ
31,23/10/2010,Guarani,Atletico-GO,Atletico-GO
31,24/10/2010,Corinthians,Palmeiras,Corinthians
31,24/10/2010,Ceara,Sao Paulo,Ceara
31,24/10/2010,Goias,Avai,Goias
31,24/10/2010,Athletico-PR,Fluminense,-
31,24/10/2010,Vasco,Flamengo,-
31,24/10/2010,Santos,Gremio Prudente,Gremio Prudente
31,24/10/2010,Cruzeiro,Atletico-MG,Atletico-MG
31,24/10/2010,Gremio,Internacional,-
32,27/10/2010,Flamengo,Corinthians,-
32,28/10/2010,Fluminense,Gremio,Fluminense
32,28/10/2010,Sao Paulo,Athletico-PR,Sao Paulo
32,28/10/2010,Atletico-GO,Ceara,-
32,30/10/2010,Internacional,Santos,-
32,30/10/2010,Vitoria,Vasco,Vitoria
32,30/10/2010,Palmeiras,Goias,Palmeiras
32,30/10/2010,Gremio Prudente,Cruzeiro,Cruzeiro
32,30/10/2010,Atletico-MG,Botafogo-RJ,Botafogo-RJ
32,30/10/2010,Avai,Guarani,Avai
33,03/11/2010,Santos,Vitoria,-
33,03/11/2010,Internacional,Fluminense,-
33,03/11/2010,Botafogo-RJ,Atletico-GO,Botafogo-RJ
33,03/11/2010,Guarani,Atletico-MG,-
33,03/11/2010,Goias,Gremio,Gremio
33,03/11/2010,Cruzeiro,Sao Paulo,Sao Paulo
33,03/11/2010,Corinthians,Avai,Corinthians
33,03/11/2010,Ceara,Flamengo,-
33,04/11/2010,Vasco,Gremio Prudente,Vasco
33,04/11/2010,Athletico-PR,Palmeiras,Athletico-PR
34,06/11/2010,Atletico-MG,Santos,-
34,06/11/2010,Gremio,Ceara,Gremio
34,06/11/2010,Atletico-GO,Internacional,-
34,07/11/2010,Sao Paulo,Corinthians,Corinthians
34,07/11/2010,Gremio Prudente,Goias,Gremio Prudente
34,07/11/2010,Vitoria,Cruzeiro,Cruzeiro
34,07/11/2010,Avai,Botafogo-RJ,-
34,07/11/2010,Fluminense,Vasco,Fluminense
34,07/11/2010,Palmeiras,Guarani,Palmeiras
34,07/11/2010,Flamengo,Athletico-PR,Athletico-PR
35,10/11/2010,Ceara,Botafogo-RJ,-
35,13/11/2010,Corinthians,Cruzeiro,Corinthians
35,13/11/2010,Santos,Gremio,-
35,13/11/2010,Atletico-MG,Flamengo,Atletico-MG
35,14/11/2010,Fluminense,Goias,-
35,14/11/2010,Internacional,Avai,Avai
35,14/11/2010,Atletico-GO,Palmeiras,Atletico-GO
35,14/11/2010,Guarani,Vitoria,-
35,14/11/2010,Vasco,Sao Paulo,-
35,14/11/2010,Athletico-PR,Gremio Prudente,Athletico-PR
36,20/11/2010,Gremio,Athletico-PR,Gremio
36,20/11/2010,Flamengo,Guarani,Flamengo
36,20/11/2010,Gremio Prudente,Ceara,-
36,21/11/2010,Sao Paulo,Fluminense,Fluminense
36,21/11/2010,Botafogo-RJ,Internacional,Internacional
36,21/11/2010,Palmeiras,Atletico-MG,Atletico-MG
36,21/11/2010,Vitoria,Corinthians,-
36,21/11/2010,Cruzeiro,Vasco,Cruzeiro
36,21/11/2010,Avai,Atletico-GO,Avai
36,21/11/2010,Goias,Santos,Santos
37,28/11/2010,Palmeiras,Fluminense,Fluminense
37,28/11/2010,Corinthians,Vasco,Corinthians
37,28/11/2010,Flamengo,Cruzeiro,Cruzeiro
37,28/11/2010,Botafogo-RJ,Gremio Prudente,Botafogo-RJ
37,28/11/2010,Ceara,Athletico-PR,-
37,28/11/2010,Guarani,Gremio,Gremio
37,28/11/2010,Atletico-MG,Goias,Atletico-MG
37,28/11/2010,Internacional,Vitoria,-
37,28/11/2010,Atletico-GO,Sao Paulo,-
37,28/11/2010,Avai,Santos,Avai
38,02/12/2010,Gremio Prudente,Internacional,Internacional
38,05/12/2010,Fluminense,Guarani,Fluminense
38,05/12/2010,Cruzeiro,Palmeiras,Cruzeiro
38,05/12/2010,Goias,Corinthians,-
38,05/12/2010,Gremio,Botafogo-RJ,Gremio
38,05/12/2010,Vasco,Ceara,Vasco
38,05/12/2010,Santos,Flamengo,-
38,05/12/2010,Sao Paulo,Atletico-MG,Sao Paulo
38,05/12/2010,Athletico-PR,Avai,Athletico-PR
38,05/12/2010,Vitoria,Atletico-GO,-
1,21/05/2011,Atletico-MG,Athletico-PR,Atletico-MG
1,21/05/2011,Flamengo,Avai,Flamengo
1,21/05/2011,Ceara,Vasco,Vasco
1,21/05/2011,Santos,Internacional,-
1,22/05/2011,Palmeiras,Botafogo-RJ,Palmeiras
1,22/05/2011,Gremio,Corinthians,Corinthians
1,22/05/2011,Coritiba,Atletico-GO,Atletico-GO
1,22/05/2011,Figueirense,Cruzeiro,Figueirense
1,22/05/2011,Fluminense,Sao Paulo,Sao Paulo
1,22/05/2011,America-MG,Bahia,America-MG
2,28/05/2011,Internacional,Ceara,Ceara
2,28/05/2011,Botafogo-RJ,Santos,Botafogo-RJ
2,28/05/2011,Avai,Atletico-MG,Atletico-MG
2,28/05/2011,Sao Paulo,Figueirense,Sao Paulo
2,29/05/2011,Corinthians,Coritiba,Corinthians
2,29/05/2011,Bahia,Flamengo,-
2,29/05/2011,Athletico-PR,Gremio,Gremio
2,29/05/2011,Cruzeiro,Palmeiras,-
2,29/05/2011,Vasco,America-MG,Vasco
2,29/05/2011,Atletico-GO,Fluminense,Fluminense
3,04/06/2011,Palmeiras,Athletico-PR,Palmeiras
3,04/06/2011,Ceara,Botafogo-RJ,-
3,04/06/2011,Fluminense,Cruzeiro,Fluminense
3,04/06/2011,Figueirense,Atletico-GO,Figueirense
3,05/06/2011,Flamengo,Corinthians,-
3,05/06/2011,Gremio,Bahia,Gremio
3,05/06/2011,Coritiba,Vasco,Coritiba
3,05/06/2011,America-MG,Internacional,Internacional
3,05/06/2011,Santos,Avai,Santos
3,08/06/2011,Atletico-MG,Sao Paulo,Sao Paulo
4,11/06/2011,Cruzeiro,Santos,-
4,11/06/2011,Avai,America-MG,-
4,11/06/2011,Sao Paulo,Gremio,Sao Paulo
4,11/06/2011,Vasco,Figueirense,-
4,12/06/2011,Internacional,Palmeiras,-
4,12/06/2011,Corinthians,Fluminense,Corinthians
4,12/06/2011,Bahia,Atletico-MG,-
4,12/06/2011,Atletico-GO,Ceara,Atletico-GO
4,12/06/2011,Botafogo-RJ,Coritiba,Botafogo-RJ
4,12/06/2011,Athletico-PR,Flamengo,-
5,18/06/2011,Fluminense,Bahia,Bahia
5,18/06/2011,America-MG,Cruzeiro,-
5,19/06/2011,Palmeiras,Avai,Palmeiras
5,19/06/2011,Gremio,Vasco,-
5,19/06/2011,Figueirense,Athletico-PR,Figueirense
5,19/06/2011,Ceara,Sao Paulo,Sao Paulo
5,19/06/2011,Flamengo,Botafogo-RJ,-
5,19/06/2011,Coritiba,Internacional,-
5,19/06/2011,Atletico-MG,Atletico-GO,-
6,25/06/2011,Flamengo,Atletico-MG,Flamengo
6,25/06/2011,Athletico-PR,Bahia,Bahia
6,25/06/2011,Cruzeiro,Coritiba,Cruzeiro
6,26/06/2011,Avai,Fluminense,Fluminense
6,26/06/2011,Corinthians,Sao Paulo,Corinthians
6,26/06/2011,Botafogo-RJ,Gremio,Botafogo-RJ
6,26/06/2011,Ceara,Palmeiras,Ceara
6,26/06/2011,Internacional,Figueirense,Internacional
6,26/06/2011,Atletico-GO,Vasco,Vasco
7,29/06/2011,Vasco,Cruzeiro,Cruzeiro
7,29/06/2011,Gremio,Avai,-
7,29/06/2011,America-MG,Flamengo,Flamengo
7,29/06/2011,Figueirense,Santos,Figueirense
7,29/06/2011,Bahia,Corinthians,Corinthians
7,29/06/2011,Sao Paulo,Botafogo-RJ,Botafogo-RJ
7,30/06/2011,Palmeiras,Atletico-GO,Palmeiras
7,30/06/2011,Coritiba,Ceara,Coritiba
7,30/06/2011,Fluminense,Athletico-PR,Fluminense
7,30/06/2011,Atletico-MG,Internacional,Internacional
6,02/07/2011,Santos,America-MG,Santos
8,06/07/2011,Internacional,Athletico-PR,Internacional
8,06/07/2011,Cruzeiro,Gremio,Cruzeiro
8,06/07/2011,Avai,Bahia,-
8,06/07/2011,Corinthians,Vasco,Corinthians
